Date,Bigrams Data
2020-03-22,"{'covid 19': 63056, 'stay home': 4573, 'positive coronavirus': 4439, 'trying times': 4334, 'coronavirus pandemic': 4321, 'times share': 4254, 'stand italy': 4252, 'italian friends': 4246, 'italy trying': 4231, 'share support': 4225, 'support italian': 4217, 'friends colleagues': 4207, 'coronavirus covid19': 3298, 'rand paul': 3258, 'coronavirus cases': 3074, 'social distancing': 3073, 'via youtube': 3005, 'coronavirus outbreak': 2915, 'new york': 2893, 'tests positive': 2702, 'tested positive': 2439, 'fight coronavirus': 2406, 'spread coronavirus': 2327, 'amid coronavirus': 2201, 'covidー19 coronavirus': 2148, 'coronavirus crisis': 2141, 'covid19 coronavirus': 2079, 'harvey weinstein': 2056, 'href rel': 1959, 'rel nofollow': 1959, 'true href': 1913, 'coronavirus covid': 1900, 'due coronavirus': 1891, 'corona virus': 1848, 'gon na': 1786, 'coronavirus via': 1777, 'stop spread': 1738, 'nofollow twitter': 1703, 'stay safe': 1632, 'sign petition': 1597, 'coronavirus covidー19': 1586, 'new cases': 1533, '19 pandemic': 1481, 'casos coronavirus': 1475, 'test positive': 1434, 'help stop': 1392, 'death toll': 1370, '19 cases': 1351, 'donald trump': 1241, 'things help': 1235, 'five things': 1221, 'president trump': 1183, 'du coronavirus': 1161, 'mass testing': 1145, 'janta curfew': 1115, 'positive covid': 1114, 'confirmed cases': 1093, 'coronavirus response': 1092, 'coronavirus death': 1089, 'year old': 1063, 'angela merkel': 1051, 'new coronavirus': 1026, 'gt gt': 1001, 'cases coronavirus': 996, 'twitter web': 980, 'chinese virus': 945, 'positivo coronavirus': 922, 'trump coronavirus': 918, 'novel coronavirus': 913, 'bbc news': 912, 'coronavirus test': 908, 'news coronavirus': 907, 'crisis coronavirus': 905, 'health care': 882, 'get coronavirus': 870, 'casos confirmados': 866, 'many people': 855, 'white house': 855, 'due covid': 850, 'web app': 848, 'wash hands': 839, 'coronavirus stimulus': 831, 'petition via': 827, 'looks like': 818, 'coronavirus lockdown': 814, 'task force': 808, 'united states': 805, 'fake news': 801, 'public health': 793, '19 outbreak': 785, 'live updates': 771, 'coronavirus deaths': 757, '19 mass': 752, 'good news': 738, 'fight covid19': 734, '19 coronavirus': 733, 'rodrigo duterte': 732, 'coronavirus live': 731, 'testing ph': 730, '19 di': 727}"
2020-03-23,"{'covid 19': 79421, 'stay home': 5777, 'coronavirus pandemic': 5380, 'coronavirus covid19': 4014, 'coronavirus outbreak': 3797, 'social distancing': 3305, 'coronavirus cases': 3182, 'via youtube': 3096, 'due coronavirus': 2948, 'coronavirus crisis': 2871, 'new york': 2779, 'positive coronavirus': 2717, 'amid coronavirus': 2685, 'href rel': 2563, 'rel nofollow': 2563, 'covid19 coronavirus': 2557, 'true href': 2526, '19 pandemic': 2366, 'coronavirus covid': 2294, 'nofollow twitter': 2197, 'covidー19 coronavirus': 2188, 'spread coronavirus': 2113, 'coronavirus bill': 2036, 'stay safe': 1983, 'gon na': 1938, 'trying times': 1927, 'coronavirus via': 1919, 'tests positive': 1843, 'fight coronavirus': 1842, 'tested positive': 1832, 'times share': 1828, 'italian friends': 1826, 'stand italy': 1824, 'share support': 1820, 'italy trying': 1818, 'support italian': 1815, 'friends colleagues': 1810, 'coronavirus covidー19': 1805, 'corona virus': 1792, 'coronavirus stimulus': 1708, 'new cases': 1705, 'casos coronavirus': 1678, 'coronavirus relief': 1655, '19 cases': 1594, 'boris johnson': 1581, 'covidー19 covid19': 1500, 'coronavirus lockdown': 1474, 'twitter web': 1435, 'harvey weinstein': 1432, 'new coronavirus': 1426, 'due covid': 1348, 'du coronavirus': 1336, 'news coronavirus': 1327, 'confirmed cases': 1280, 'coronavirus response': 1266, 'web app': 1261, '19 outbreak': 1235, '19 crisis': 1206, 'rand paul': 1198, 'donald trump': 1182, 'sign petition': 1178, 'death toll': 1157, 'stop spread': 1151, 'white house': 1151, 'public health': 1139, 'crisis coronavirus': 1125, 'president trump': 1125, 'bbc news': 1124, 'year old': 1086, 'positive covid': 1033, 'cases coronavirus': 1002, 'novel coronavirus': 984, 'coronavirus update': 971, 'trump coronavirus': 957, 'nancy pelosi': 941, 'dr fauci': 938, 'looks like': 937, '19 coronavirus': 926, 'health care': 917, 'fake news': 915, 'pandemia coronavirus': 906, 'american people': 902, 'covid19 pandemic': 899, 'coronavirus death': 896, 'nuevos casos': 891, 'task force': 886, 'many people': 880, 'chinese virus': 875, 'casos confirmados': 872, 'march 23': 867, 'get coronavirus': 848, 'united states': 847, 'coronavirus spread': 834, 'live updates': 834, 'good news': 828, 'fox news': 824, 'self employed': 822, 'relief bill': 822, 'amid covid': 819, 'help stop': 812}"
2020-03-24,"{'covid 19': 85876, 'coronavirus pandemic': 5863, 'stay home': 5489, 'coronavirus covid19': 4353, 'coronavirus outbreak': 3759, 'via youtube': 3382, 'new york': 3362, 'coronavirus cases': 3318, 'covid19 coronavirus': 3175, 'due coronavirus': 3080, 'coronavirus crisis': 3022, 'social distancing': 2934, 'amid coronavirus': 2901, 'href rel': 2630, 'rel nofollow': 2630, 'true href': 2586, '19 pandemic': 2498, 'coronavirus covid': 2481, 'positive coronavirus': 2236, 'nofollow twitter': 2211, 'fight coronavirus': 2130, 'coronavirus lockdown': 2098, 'coronavirus bill': 2090, 'coronavirus via': 1979, 'stay safe': 1908, 'gon na': 1889, 'manu dibango': 1829, 'corona virus': 1794, 'casos coronavirus': 1777, 'coronavirus stimulus': 1776, 'new cases': 1766, '19 cases': 1728, 'tested positive': 1699, 'du coronavirus': 1535, 'sign petition': 1520, 'new coronavirus': 1518, 'twitter web': 1450, 'donald trump': 1429, 'news coronavirus': 1424, 'white house': 1408, 'self employed': 1377, 'coronavirus response': 1374, 'spread coronavirus': 1372, 'coronavirus relief': 1359, 'tests positive': 1356, 'due covid': 1324, 'bbc news': 1309, 'president trump': 1309, '19 outbreak': 1267, 'confirmed cases': 1256, 'web app': 1256, 'fox news': 1241, 'public health': 1233, '19 crisis': 1232, 'year old': 1218, 'coronavirus update': 1201, 'man dies': 1173, 'trump coronavirus': 1120, 'cases coronavirus': 1118, 'death toll': 1107, 'prime minister': 1080, 'fake news': 1075, '21 days': 1070, 'crisis coronavirus': 1069, 'positive covid': 1069, 'good news': 1061, 'pandemia coronavirus': 1047, '19 via': 1046, 'fish tank': 1036, 'coronavirus patients': 1032, '19 coronavirus': 1027, 'casos confirmados': 1017, 'covid19 pandemic': 999, 'gt gt': 968, 'nuevos casos': 968, 'nancy pelosi': 951, 'dies coronavirus': 945, 'petition via': 940, 'coronavirus covidー19': 931, 'looks like': 927, 'amid covid': 924, 'health care': 923, 'live updates': 920, 'back work': 908, 'spread covid19': 899, 'united states': 895, 'task force': 881, 'novel coronavirus': 875, 'test positive': 862, 'tank cleaner': 846, 'many people': 835, 'march 24': 833, 'abba kyari': 826, 'stimulus bill': 822, 'coronavirus vía': 820, 'coronavirus death': 816, 'get coronavirus': 815, 'fight covid': 806, 'south korea': 796, 'covidー19 coronavirus': 791}"
2020-03-25,"{'covid 19': 85937, 'prince charles': 6287, 'coronavirus pandemic': 5402, 'positive coronavirus': 4922, 'tests positive': 4485, 'stay home': 4356, 'coronavirus covid19': 4057, 'new york': 3665, 'coronavirus outbreak': 3459, 'coronavirus crisis': 3187, 'white house': 3165, 'via youtube': 3130, 'coronavirus cases': 3044, 'social distancing': 3028, 'charles tests': 2876, '19 pandemic': 2805, 'rel nofollow': 2799, 'href rel': 2799, 'tested positive': 2772, 'true href': 2754, 'covid19 coronavirus': 2753, 'due coronavirus': 2747, 'amid coronavirus': 2659, 'coronavirus stimulus': 2646, 'nofollow twitter': 2354, 'coronavirus covid': 2290, 'coronavirus via': 2200, 'fight coronavirus': 2065, 'trillion coronavirus': 1998, 'coronavirus lockdown': 1943, 'new cases': 1830, 'spread covid19': 1808, '19 cases': 1788, 'coronavirus relief': 1774, 'coronavirus bill': 1747, 'positive covid': 1743, 'stay safe': 1732, 'gon na': 1724, 'stimulus package': 1683, 'slow spread': 1651, 'casos coronavirus': 1609, 'death toll': 1608, 'corona virus': 1589, 'bbc news': 1584, 'twitter web': 1584, 'news coronavirus': 1477, 'house senate': 1464, 'help slow': 1441, 'year old': 1433, 'trump coronavirus': 1377, 'new coronavirus': 1366, 'du coronavirus': 1362, 'web app': 1361, 'stimulus bill': 1358, 'donald trump': 1330, 'covid19 identify': 1325, 'identify risk': 1319, '19 crisis': 1314, 'risk cases': 1312, 'self reporting': 1302, 'cases sooner': 1301, 'due covid': 1297, 'sooner self': 1291, 'spread coronavirus': 1287, 'confirmed cases': 1268, 'coronavirus patients': 1258, 'reporting symptoms': 1254, 'positivo coronavirus': 1251, '19 outbreak': 1250, 'symptoms daily': 1246, 'daily even': 1242, 'coronavirus response': 1214, 'crisis coronavirus': 1213, 'covid2019 coronavirus': 1180, 'coronavirus covid2019': 1175, 'president trump': 1165, 'cases coronavirus': 1097, 'coronavirus death': 1075, 'good news': 1075, 'test positive': 1022, 'coronavirus update': 1012, 'relief bill': 996, 'casos confirmados': 985, '19 via': 965, 'senate reach': 957, 'novel coronavirus': 934, 'amid covid': 932, 'príncipe carlos': 928, 'coronavirus test': 926, 'sign petition': 921, 'fake news': 920, 'united states': 920, 'public health': 917, 'health care': 915, 'coronavirus live': 909, 'covid19 pandemic': 908, 'pandemia coronavirus': 893, 'fight covid': 886, 'live updates': 880, 'get coronavirus': 880}"
2020-03-26,"{'covid 19': 120843, 'coronavirus pandemic': 8595, 'coronavirus covid19': 8432, 'coronavirus cases': 6957, 'covid19 coronavirus': 6059, 'stay home': 5796, '19 pandemic': 4997, 'new york': 4977, 'coronavirus outbreak': 4879, 'coronavirus crisis': 4441, 'social distancing': 4253, 'via youtube': 4166, 'due coronavirus': 3668, 'coronavirus covid': 3520, 'amid coronavirus': 3413, 'fight coronavirus': 3127, '19 cases': 3077, 'coronavirus via': 2850, 'stay safe': 2825, 'rel nofollow': 2798, 'href rel': 2798, 'true href': 2734, 'new cases': 2600, 'confirmed cases': 2567, 'covid2019 coronavirus': 2512, 'tested positive': 2456, 'nofollow twitter': 2386, 'coronavirus lockdown': 2365, 'coronavirus covid2019': 2357, 'positive coronavirus': 2323, 'corona virus': 2237, 'united states': 2218, '19 outbreak': 2183, 'crisis coronavirus': 2162, 'spread coronavirus': 2130, 'du coronavirus': 2101, 'gon na': 2098, 'coronavirus stimulus': 2085, 'due covid': 2029, '19 crisis': 2023, 'covid19 pandemic': 2016, 'cases coronavirus': 1989, 'death toll': 1983, 'covid2019 covid19': 1965, 'chinese virus': 1934, 'casos coronavirus': 1929, 'coronavirus response': 1879, 'donald trump': 1869, 'new coronavirus': 1854, 'health care': 1851, 'coronavirus patients': 1807, 'sign petition': 1782, 'year old': 1732, 'self employed': 1701, 'public health': 1693, 'bbc news': 1680, 'coronavirus bill': 1677, 'news coronavirus': 1652, 'president trump': 1606, 'pandemia coronavirus': 1606, 'twitter web': 1598, 'coronavirus relief': 1590, 'help us': 1543, 'trump coronavirus': 1538, 'gt gt': 1522, 'petition via': 1489, 'people dying': 1472, 'get coronavirus': 1461, 'novel coronavirus': 1458, 'covid19 cases': 1452, 'stimulus package': 1452, 'fake news': 1440, 'many people': 1421, 'web app': 1413, 'spread covid19': 1394, 'casos confirmados': 1391, 'positive covid': 1369, 'healthcare workers': 1361, 'fight covid': 1319, 'confirmed coronavirus': 1302, 'due covid19': 1279, '19 via': 1269, '19 patients': 1260, 'white house': 1243, 'us coronavirus': 1235, 'coronavirus deaths': 1217, 'response coronavirus': 1213, 'good news': 1209, 'fight covid19': 1208, 'amid covid': 1192, '19 coronavirus': 1190, 'march 26': 1179, 'around world': 1176, 'coronavirus update': 1168, 'doctors nurses': 1167, '19 chinese': 1162, 'il coronavirus': 1147, 'looks like': 1137, 'last week': 1128, 'test positive': 1124}"
2020-03-27,"{'covid 19': 125985, 'boris johnson': 9689, 'coronavirus covid19': 9686, 'coronavirus pandemic': 8305, 'positive coronavirus': 6919, 'covid19 coronavirus': 6445, 'coronavirus cases': 5891, 'stay home': 5719, 'tests positive': 5375, 'coronavirus outbreak': 5067, '19 pandemic': 5033, 'tested positive': 4883, 'new york': 4791, 'via youtube': 4490, 'social distancing': 4212, 'prime minister': 4210, 'coronavirus crisis': 3941, 'coronavirus covid': 3471, 'amid coronavirus': 3287, 'due coronavirus': 3269, 'fight coronavirus': 3259, '19 cases': 3065, 'stay safe': 3011, 'johnson tests': 3006, 'coronavirus via': 2913, 'rel nofollow': 2867, 'href rel': 2867, 'true href': 2798, 'corona virus': 2552, 'confirmed cases': 2518, 'new cases': 2510, 'us saudi': 2495, 'nofollow twitter': 2471, 'coronavirus covid2019': 2451, 'positive covid': 2406, 'spread coronavirus': 2363, 'coronavirus lockdown': 2321, 'covid19 pandemic': 2311, 'donald trump': 2290, 'gon na': 2221, '100 000': 2165, 'minister boris': 2164, 'du coronavirus': 2156, 'cases coronavirus': 2089, 'coronavirus patients': 2047, '19 crisis': 2032, 'united states': 1985, '19 outbreak': 1972, 'health care': 1935, 'casos coronavirus': 1911, 'due covid': 1894, 'death toll': 1890, 'coronavirus relief': 1883, 'news coronavirus': 1860, 'president trump': 1799, 'coronavirus stimulus': 1798, 'coronavirus response': 1786, 'new coronavirus': 1774, 'bbc news': 1774, 'year old': 1771, 'public health': 1759, 'coronalockdown coronavirus': 1739, 'virus covid': 1707, 'crisis coronavirus': 1690, 'fake news': 1673, 'twitter web': 1622, 'covid2019 covid19': 1615, 'pandemia coronavirus': 1571, 'novel coronavirus': 1563, 'white house': 1523, 'positivo coronavirus': 1494, 'casos confirmados': 1473, 'test positive': 1455, 'covid2019 coronavirus': 1453, 'web app': 1439, 'sign petition': 1437, 'fight covid': 1415, 'chinese virus': 1413, 'many people': 1411, 'covid19 cases': 1402, '19 aksiberantascovid19': 1392, 'trillion coronavirus': 1371, 'fight covid19': 1368, 'coronavirus deaths': 1351, 'relief bill': 1321, 'covid19 covid2019': 1306, 'uk prime': 1304, 'coronavirus test': 1299, 'healthcare workers': 1298, 'get well': 1298, 'help us': 1294, '19 coronavirus': 1268, 'trump coronavirus': 1258, 'due covid19': 1255, 'looks like': 1243, 'around world': 1236, 'coronavirus us': 1234, 'wash hands': 1232, 'gt gt': 1232, 'amid covid': 1225}"
2020-03-28,"{'covid 19': 109444, 'coronavirus covid19': 7669, 'coronavirus pandemic': 6811, 'covid19 coronavirus': 5994, 'new york': 5897, 'stay home': 5440, 'coronavirus cases': 4816, 'via youtube': 4458, 'social distancing': 3746, 'positive coronavirus': 3581, 'coronavirus outbreak': 3534, 'medical masks': 3510, '19 pandemic': 3492, 'masks available': 3454, 'coronavirus specific': 3449, '19 99': 3445, 'specific medical': 3439, 'available 19': 3438, 'coronavirus crisis': 3245, 'fight coronavirus': 3229, 'coronavirus covid': 3010, 'new cases': 2925, 'tested positive': 2797, '19 cases': 2696, 'stay safe': 2614, 'amid coronavirus': 2610, 'coronavirus via': 2499, 'due coronavirus': 2416, 'rel nofollow': 2246, 'href rel': 2246, 'death toll': 2239, 'coronavirus lockdown': 2219, 'corona virus': 2217, 'confirmed cases': 2198, 'true href': 2190, 'tests positive': 2181, 'donald trump': 2055, 'boris johnson': 1969, 'gon na': 1964, 'nofollow twitter': 1942, 'united states': 1917, 'year old': 1877, '100 000': 1868, 'covid_19 coronavirus': 1851, 'coronavirus covid_19': 1839, 'covid19 covid_19': 1806, 'fake news': 1767, 'casos coronavirus': 1760, 'cases coronavirus': 1725, 'du coronavirus': 1677, 'covid19 pandemic': 1670, 'coronavirus patients': 1668, 'spread coronavirus': 1639, 'sign petition': 1637, 'new coronavirus': 1626, 'novel coronavirus': 1602, 'fight covid': 1599, 'public health': 1540, 'news coronavirus': 1530, 'coronavirus death': 1528, 'health care': 1521, '19 crisis': 1497, 'derrotar coronavirus': 1462, 'fight covid19': 1440, 'positive covid': 1439, 'bbc news': 1425, '19 outbreak': 1416, 'president trump': 1411, '10 000': 1405, 'covid_19 covid19': 1387, 'coronavirus response': 1374, 'petition via': 1371, 'coronavirus deaths': 1366, '19 patients': 1353, 'many people': 1328, 'coronalockdown covid19': 1328, 'coronavirus test': 1321, 'due covid': 1314, 'coronalockdown coronavirus': 1296, 'crisis coronavirus': 1230, 'casos confirmados': 1226, 'coronavirus derrotar': 1192, 'covid19 cases': 1187, 'test positive': 1161, 'pandemia coronavirus': 1146, '19 test': 1112, 'gt gt': 1107, '28 03': 1088, 'good news': 1088, 'wash hands': 1087, 'care workers': 1082, 'help us': 1075, '03 2020': 1071, 'qu il': 1065, 'march 2020': 1064, 'coronavirus update': 1062, 'twitter web': 1061, 'spread covid19': 1056, 'save lives': 1032, 'due covid19': 1028}"
2020-03-29,"{'covid 19': 110352, 'coronavirus covid19': 7559, 'coronavirus pandemic': 6957, 'new york': 5604, 'stay home': 5294, 'covid19 coronavirus': 5086, 'coronavirus cases': 4757, 'via youtube': 4493, 'social distancing': 4374, 'coronavirus crisis': 3964, 'must act': 3856, 'deliver copy': 3836, 'last delivered': 3834, 'coronavirus outbreak': 3753, 'copy officials': 3743, 'officials last': 3742, 'signing must': 3680, 'act deliver': 3680, '19 pandemic': 3500, 'covid_19 coronavirus': 3054, 'fight coronavirus': 3012, '100 000': 2828, 'positive coronavirus': 2783, 'death toll': 2760, 'coronavirus lockdown': 2744, 'coronavirus covid': 2736, 'coronavirus covid_19': 2635, 'new cases': 2618, 'coronavirus via': 2587, 'due coronavirus': 2499, 'amid coronavirus': 2463, '19 cases': 2418, 'tested positive': 2330, 'united states': 2319, 'stay safe': 2275, 'people dying': 2189, 'href rel': 2168, 'rel nofollow': 2168, 'corona virus': 2160, 'coronavirus deaths': 2140, 'true href': 2123, 'du coronavirus': 2095, 'gon na': 2079, 'president trump': 2053, 'donald trump': 2053, 'covid_19 covid19': 1954, 'nofollow twitter': 1908, 'confirmed cases': 1877, '200 000': 1800, 'trump coronavirus': 1781, 'year old': 1765, 'coronavirus death': 1746, 'coronavirus patients': 1669, 'novel coronavirus': 1647, 'spread coronavirus': 1636, 'casos coronavirus': 1628, 'new coronavirus': 1601, 'tests positive': 1596, 'fake news': 1575, 'medical supplies': 1570, 'coronavirus response': 1558, 'health care': 1517, 'joe diffie': 1504, 'positive covid': 1453, 'fight covid': 1430, 'covid19 pandemic': 1426, 'public health': 1420, '19 crisis': 1416, 'crisis coronavirus': 1397, 'news coronavirus': 1382, 'cases coronavirus': 1376, 'task force': 1355, 'bbc news': 1350, 'due covid': 1347, 'many people': 1325, '19 patients': 1314, 'boris johnson': 1297, 'white house': 1296, 'pandemia coronavirus': 1277, 'dies coronavirus': 1268, 'fight covid19': 1261, '19 outbreak': 1238, 'sign petition': 1228, 'save lives': 1226, 'casos confirmados': 1224, '10 000': 1171, 'coronavirus update': 1168, '03 2020': 1164, 'dr fauci': 1163, '29 03': 1144, '19 via': 1131, 'twitter web': 1114, 'covid19 covid_19': 1113, 'healthcare workers': 1106, 'good news': 1090, 'test positive': 1087, 'death rate': 1083, '19 coronavirus': 1081, 'nuevos casos': 1080, 'march 29': 1080}"
2020-03-30,"{'covid 19': 130436, 'coronavirus covid19': 9293, 'coronavirus pandemic': 8421, 'covid19 coronavirus': 6764, 'stay home': 5979, 'new york': 5467, 'coronavirus outbreak': 4965, '19 pandemic': 4949, 'social distancing': 4796, 'coronavirus cases': 4482, 'via youtube': 4344, 'coronavirus crisis': 4240, 'due coronavirus': 3540, 'coronavirus covid': 3431, 'amid coronavirus': 3399, 'fight coronavirus': 3268, 'coronavirus lockdown': 3210, 'covid_19 coronavirus': 3138, 'rel nofollow': 2924, 'href rel': 2924, 'true href': 2864, 'death toll': 2707, 'coronavirus via': 2691, '19 cases': 2659, 'coronavirus patients': 2658, 'covid_19 covid19': 2646, 'must act': 2645, 'deliver copy': 2610, 'last delivered': 2609, 'copy officials': 2595, 'officials last': 2594, 'new cases': 2566, 'signing must': 2553, 'act deliver': 2552, 'coronavirus covid_19': 2549, 'stay safe': 2541, 'nofollow twitter': 2486, 'tested positive': 2482, 'positive coronavirus': 2430, 'covid19 pandemic': 2303, '19 crisis': 2297, '100 000': 2265, 'gon na': 2102, 'spread coronavirus': 2044, 'corona virus': 2005, 'due covid': 1992, '19 outbreak': 1961, 'health care': 1956, 'donald trump': 1923, 'du coronavirus': 1918, 'fake news': 1886, 'new coronavirus': 1831, 'coronavirus response': 1786, 'penyebaran covid': 1784, 'last week': 1778, '200 000': 1741, 'crisis coronavirus': 1737, 'twitter web': 1728, 'coronavirus deaths': 1723, 'news coronavirus': 1719, '19 patients': 1716, 'president trump': 1709, 'confirmed cases': 1705, 'coronavirus death': 1667, 'year old': 1654, 'public health': 1647, 'casos coronavirus': 1646, 'fight covid': 1631, 'united states': 1597, 'sign petition': 1582, 'bbc news': 1551, 'good news': 1515, 'web app': 1515, 'novel coronavirus': 1488, 'covid19 covid_19': 1475, 'pandemia coronavirus': 1456, 'positive covid': 1444, 'virus covid': 1411, 'fight covid19': 1409, 'dies coronavirus': 1398, 'due covid19': 1357, 'trump coronavirus': 1355, 'tests positive': 1342, 'white house': 1327, 'gt gt': 1321, 'amid covid': 1308, 'many people': 1293, 'march 30': 1293, 'healthcare workers': 1278, '19 via': 1277, 'coronavirus update': 1274, 'save lives': 1273, '19 coronavirus': 1272, 'south korea': 1268, 'maret 2020': 1264, 'fox news': 1246, 'penyemprotan disinfektan': 1242, 'task force': 1227, 'casos confirmados': 1224, 'cases coronavirus': 1184}"
2020-03-31,"{'covid 19': 133508, 'coronavirus covid19': 9384, 'coronavirus pandemic': 8550, 'covid19 coronavirus': 7410, 'stay home': 5130, 'new york': 4995, '19 pandemic': 4824, 'coronavirus outbreak': 4731, 'social distancing': 4358, 'via youtube': 4223, 'coronavirus crisis': 4123, 'coronavirus cases': 4036, 'hari ini': 3663, 'penyemprotan disinfektan': 3614, 'tni polri': 3506, 'due coronavirus': 3372, 'coronavirus covid': 3342, 'amid coronavirus': 3257, 'melakukan penyemprotan': 3171, '19 dengan': 3166, 'tested positive': 2995, 'rel nofollow': 2858, 'href rel': 2858, 'death toll': 2835, 'true href': 2791, 'positive coronavirus': 2771, 'coronavirus lockdown': 2745, 'fight coronavirus': 2725, 'coronavirus via': 2672, 'instansi terkait': 2669, 'dan instansi': 2642, 'white house': 2633, 'terkait lainya': 2618, '19 cases': 2593, 'secara massal': 2555, 'covid19 pandemic': 2550, 'memerangi covid': 2509, 'dengan melakukan': 2488, '100 000': 2448, 'disinfektan secara': 2435, 'nofollow twitter': 2429, 'new cases': 2421, 'stay safe': 2412, 'massal dan': 2361, 'dan serentak': 2313, 'perangi covid': 2242, '19 crisis': 2228, 'lainya bersinergi': 2205, 'year old': 2199, 'bersinergi perangi': 2192, 'dari berbagai': 2168, 'berbagai pihak': 2162, 'kerjasama dari': 2158, 'ini tni': 2143, 'diperlukan kerjasama': 2125, '19 diperlukan': 2125, 'pihak hari': 2124, 'serentak sinergitascegahcovid19': 2123, 'gon na': 2107, 'corona virus': 2096, 'polri pemda': 2080, 'pemda dan': 2077, 'du coronavirus': 2072, 'dalam memerangi': 1992, 'coronavirus deaths': 1964, 'coronavirus response': 1963, 'confirmed cases': 1943, 'news coronavirus': 1941, '19 outbreak': 1917, 'health care': 1916, 'due covid': 1914, 'spread coronavirus': 1886, 'mike lindell': 1845, 'coronavirus death': 1830, 'virus corona': 1826, 'donald trump': 1800, 'positive covid': 1782, 'public health': 1780, 'sinergitascegahcovid19 jatenglawancorona': 1755, 'crisis coronavirus': 1727, 'bbc news': 1678, 'david mike': 1671, 'cdtv covid_19': 1671, 'bizbizeyeteriz covid': 1671, 'covid self_portrait': 1671, 'covid_19 prior': 1671, 'suho bizbizeyeteriz': 1671, 'pillow letslovesuho': 1671, 'prior jorge': 1671, 'covid19 stayathome': 1658, 'task force': 1645, 'twitter web': 1636, 'chris cuomo': 1630, 'new coronavirus': 1622, 'fake news': 1604, 'april fools': 1603, 'casos coronavirus': 1598, 'trump coronavirus': 1584, 'coronavirus patients': 1513, 'novel coronavirus': 1511}"
