Date,Terms Data
2020-03-22,"{'NaN': 86350, 'covid': 67037, '19': 64625, 'covid19': 56389, 'people': 28026, 'trump': 17061, 'via': 16803, 'us': 15701, 'virus': 15674, 'amp': 15424, 'cases': 13746, 'get': 13346, 'new': 13307, 'like': 13291, 'covidー19': 12439, 'coronaviruspandemic': 12216, 'one': 11776, 'si': 11703, 'please': 11236, 'home': 11067, 'help': 10846, 'italy': 10741, 'time': 10738, 'china': 10676, 'stay': 10546, 'news': 10459, 'pandemic': 10453, 'need': 10255, 'realdonaldtrump': 10138, 'positive': 9616, 'na': 9224, 'di': 9186, 'corona': 9155, 'world': 8920, 'know': 8107, 'crisis': 8056, 'stop': 7947, 'il': 7933, 'test': 7896, 'go': 7859, 'good': 7783, 'the': 7767, 'times': 7716, 'support': 7692, 'health': 7441, 'da': 7435, 'et': 7357, 'would': 7284, 'going': 7277, 'spread': 7125, 'first': 7100, 'government': 7097, 'lockdown': 7056, 'take': 6917, 'see': 6850, 'est': 6838, 'trying': 6674, 'day': 6561, 'could': 6374, 'still': 6331, 'president': 6297, 'let': 6232, 'think': 6155, 'even': 6120, 'casos': 6117, 'fight': 6098, 'des': 6078, 'share': 6041, 'social': 6020, 'die': 6007, 'right': 5921, 'friends': 5907, '2020': 5738, 'well': 5655, 'today': 5596, 'really': 5587, 'to': 5487, 'many': 5467, 'du': 5444, 'got': 5416, 'italian': 5380, 'make': 5338, 're': 5320, 'due': 5265, 'may': 5263, 'says': 5258, '000': 5222, 'live': 5212, 'stand': 5153, 'quarantine': 5137, 'outbreak': 5133, 'tests': 5125, 'testing': 5108, 'country': 5094, 'work': 5069, 'tested': 5046, 'india': 5036, 'everyone': 4973, 'state': 4950, 'pour': 4904}"
2020-03-23,"{'NaN': 88094, 'covid': 84031, '19': 81299, 'covid19': 71684, 'people': 29656, 'trump': 19862, 'via': 19493, 'amp': 17404, 'us': 16947, 'new': 16414, 'virus': 15364, 'cases': 14989, 'home': 14585, 'get': 14521, 'like': 14117, 'pandemic': 13441, 'covidー19': 13211, 'stay': 12938, 'one': 12568, 'please': 12497, 'news': 12489, 'time': 12421, 'need': 11991, 'realdonaldtrump': 11778, 'help': 11582, 'si': 11511, 'crisis': 10594, 'china': 9957, 'lockdown': 9490, 'di': 9479, 'health': 9279, 'know': 9268, 'na': 9181, 'the': 8960, 'corona': 8763, 'world': 8734, 'going': 8700, 'il': 8649, 'go': 8611, 'good': 8247, 'says': 8090, 'et': 8040, 'would': 7896, 'bill': 7812, 'due': 7770, 'spread': 7766, 'government': 7663, 'take': 7590, 'da': 7472, 'first': 7451, 'stop': 7411, 'work': 7246, 'see': 7226, 'positive': 7217, 'day': 7183, '2020': 7167, 'est': 7155, 'let': 7033, 'des': 7032, 'still': 7027, '000': 6922, 'test': 6885, 'italy': 6816, 'today': 6781, 're': 6762, 'support': 6732, 'could': 6718, 'casos': 6634, 'social': 6627, 'think': 6608, 'outbreak': 6575, 'right': 6509, 'du': 6240, 'die': 6229, 'president': 6211, 'many': 6176, 'times': 6161, 'to': 6126, 'may': 6115, 'even': 6109, 'make': 5958, 'man': 5921, 'really': 5724, 'pour': 5659, 'uk': 5654, 'well': 5594, 'per': 5581, 'state': 5530, 'live': 5519, 'want': 5449, 'country': 5357, 'democrats': 5356, 'got': 5355, 'fight': 5354, 'everyone': 5294, 'say': 5241, 'read': 5167, 'response': 5161, 'must': 5141, 'thank': 5140}"
2020-03-24,"{'covid': 91123, 'NaN': 87992, '19': 87927, 'covid19': 84368, 'people': 29052, 'trump': 23074, 'via': 21522, 'amp': 18852, 'new': 18748, 'us': 18568, 'cases': 16132, 'virus': 15762, 'like': 14627, 'get': 14462, 'home': 14385, 'pandemic': 14215, 'news': 14176, 'one': 13759, 'time': 12550, 'stay': 12377, 'please': 12372, 'need': 12334, 'help': 12091, 'realdonaldtrump': 12024, 'china': 11899, 'si': 11896, 'lockdown': 11390, 'crisis': 10769, 'health': 10025, 'world': 9712, 'di': 9684, 'go': 9533, 'know': 9426, 'says': 9242, 'the': 9234, 'corona': 9136, 'il': 8939, 'would': 8835, 'good': 8762, 'na': 8711, 'est': 8348, 'da': 8308, 'work': 8246, 'going': 8163, 'et': 8116, 'due': 8107, 'day': 8102, 'today': 7759, 'des': 7713, '000': 7689, 'du': 7639, 'see': 7616, 'take': 7602, 'let': 7588, '2020': 7587, 'first': 7462, 'government': 7451, 'could': 7316, 'casos': 7278, 'bill': 7267, 'still': 7082, 'die': 7050, 'positive': 6991, 're': 6960, 'test': 6950, 'spread': 6937, 'think': 6910, 'president': 6859, 'man': 6808, 'covidー19': 6634, 'right': 6631, 'stop': 6613, 'even': 6566, 'outbreak': 6524, 'to': 6395, 'back': 6385, 'make': 6321, 'social': 6290, 'india': 6259, '24': 6256, 'per': 6254, 'days': 6248, 'many': 6232, 'country': 6205, 'may': 6198, 'fight': 6018, 'want': 5990, 'read': 5941, 'pour': 5934, 'support': 5927, 'say': 5882, 'really': 5879, 'live': 5871, 'state': 5859, 'well': 5814, 'self': 5703, 'great': 5605, 'death': 5540, 'said': 5487, 'way': 5472}"
2020-03-25,"{'covid': 90652, '19': 88225, 'NaN': 84130, 'covid19': 77901, 'people': 27129, 'via': 21184, 'trump': 19520, 'new': 18846, 'us': 18257, 'amp': 17315, 'cases': 16520, 'virus': 14899, 'news': 14221, 'get': 14208, 'pandemic': 14081, 'like': 13488, 'help': 13483, 'china': 13407, 'home': 13210, 'one': 12960, 'si': 12115, 'positive': 11873, 'time': 11802, 'please': 11420, 'crisis': 11331, 'need': 11015, 'stay': 10724, 'realdonaldtrump': 10470, 'world': 10238, 'health': 9954, 'di': 9825, 'good': 9587, 'the': 9457, 'na': 9235, 'il': 9195, 'lockdown': 9045, 'know': 9004, 'corona': 8797, 'da': 8747, 'would': 8376, 'go': 8268, 'et': 8232, 'bill': 8006, 'due': 7790, '000': 7781, 'covid2019': 7750, 'des': 7693, 'says': 7605, 'day': 7579, 'work': 7558, 'see': 7435, 'test': 7377, 'tests': 7377, 'spread': 7359, 'charles': 7354, 'est': 7291, 'going': 7274, 'government': 7265, 'prince': 7256, 'could': 7207, 'take': 7150, 'even': 7085, 'casos': 7064, 'today': 6693, '2020': 6667, 'still': 6661, 'first': 6586, 'to': 6564, 'du': 6530, 'may': 6478, 'think': 6451, 'social': 6450, 're': 6411, 'let': 6404, 'president': 6366, 'house': 6365, 'outbreak': 6292, 'pour': 6289, 'die': 6260, 'many': 6223, 'right': 6197, 'make': 6150, 'per': 6099, 'live': 6091, 'deaths': 6045, 'hospital': 5933, 'support': 5872, 'fight': 5857, 'well': 5808, 'must': 5796, 'stop': 5748, 'death': 5707, 'state': 5683, 'really': 5645, 'stimulus': 5630, 'country': 5563, 'india': 5548, 'great': 5530, 'man': 5453, 'back': 5453}"
2020-03-26,"{'covid19': 137568, 'covid': 128786, '19': 124076, 'NaN': 86337, 'people': 42561, 'amp': 35637, 'us': 33261, 'via': 33227, 'cases': 31100, 'trump': 28143, 'virus': 26839, 'pandemic': 26029, 'china': 25932, 'new': 25026, 'get': 22491, 'like': 20698, 'world': 20500, 'one': 20436, 'help': 20433, 'time': 18928, 'news': 18762, 'crisis': 18366, 'covid2019': 18005, 'home': 17723, 'need': 17697, '000': 16414, 'please': 16331, 'si': 15964, 'health': 15775, 'realdonaldtrump': 15348, 'stay': 14855, 'di': 14449, 'know': 14062, 'would': 13665, 'et': 13003, 'na': 12816, 'corona': 12746, 'lockdown': 12555, 'work': 12313, 'go': 12285, 'il': 12221, 'good': 12051, 'government': 11860, 'test': 11851, 'deaths': 11635, 'hospital': 11568, 'see': 11440, 'due': 11401, 'day': 11383, 'could': 11258, 'country': 11249, 'des': 11210, 'take': 11127, 'going': 11058, 'spread': 10884, 'da': 10730, 'today': 10513, 'still': 10495, 'many': 10397, 'even': 10236, 'die': 10190, 'casos': 10021, '2020': 9981, 'outbreak': 9894, 'positive': 9826, 'first': 9809, 'right': 9787, 'du': 9785, 're': 9736, 'est': 9603, 'make': 9596, 'may': 9531, 'social': 9425, 'per': 9395, 'well': 9331, 'think': 9279, 'fight': 9266, 'workers': 9194, 'let': 9148, 'the': 9105, 'support': 8994, 'coronaviruspandemic': 8983, 'response': 8943, 'pour': 8939, 'care': 8841, 'back': 8704, 'also': 8655, 'state': 8632, 'patients': 8543, 'says': 8503, 'stop': 8501, 'death': 8384, 'president': 8383, 'bill': 8337, 'read': 8186, 'want': 8156, 'number': 8150, 'usa': 8147, 'much': 8125, 'really': 8086}"
2020-03-27,"{'covid19': 156102, 'covid': 134682, '19': 129550, 'NaN': 88211, 'people': 42639, 'amp': 37370, 'us': 35352, 'via': 33237, 'trump': 33096, 'cases': 29218, 'virus': 29104, 'pandemic': 25829, 'new': 25359, 'get': 23639, 'china': 23262, 'like': 21645, 'world': 20416, 'one': 20384, 'news': 20069, 'help': 19734, 'time': 19417, 'health': 18918, 'need': 18291, 'positive': 17718, 'home': 17614, 'crisis': 17347, 'please': 16613, 'si': 16480, 'realdonaldtrump': 15723, 'stay': 15280, 'di': 15273, '000': 15000, 'would': 14794, 'corona': 14153, 'know': 14098, 'et': 13616, 'covid2019': 13324, 'boris': 12860, 'test': 12515, 'good': 12412, 'il': 12176, 'da': 12168, 'country': 12155, 'go': 12108, 'lockdown': 11959, 'see': 11911, 'na': 11789, 'many': 11462, 'deaths': 11437, 'work': 11419, 'take': 11371, 'day': 11256, 'going': 11235, 'johnson': 11180, 'government': 11168, 'could': 11059, 'des': 10981, 'even': 10760, 'spread': 10712, 'due': 10622, 'well': 10608, 'still': 10575, 'die': 10512, 'casos': 10461, 'est': 10456, 'tests': 10403, '2020': 10386, 'first': 10280, 'right': 10253, 'outbreak': 10188, 'today': 10082, 'president': 10002, 'du': 9991, 'hospital': 9915, 'make': 9718, 'think': 9661, 'fight': 9648, 'per': 9462, 'may': 9308, 'let': 9295, 'social': 9196, 'the': 9184, 'uk': 9169, 'patients': 9168, 're': 9052, 'care': 9048, 'pour': 8924, 'tested': 8915, 'state': 8796, 'also': 8638, 'response': 8625, 'coronalockdown': 8605, 'back': 8566, 'support': 8553, 'really': 8466, 'stop': 8450, 'says': 8362, 'death': 8348, 'said': 8249, 'great': 8212}"
2020-03-28,"{'covid19': 143953, '19': 116645, 'covid': 116419, 'NaN': 85666, 'people': 38209, 'amp': 31501, 'via': 29947, 'trump': 28278, 'cases': 26648, 'new': 25723, 'us': 25339, 'virus': 23853, 'pandemic': 21008, 'like': 19236, 'china': 18887, 'get': 18597, 'one': 17662, 'news': 17118, 'time': 16412, 'si': 16186, 'help': 16145, 'home': 16126, 'world': 15798, '000': 14821, 'need': 14727, 'please': 14710, 'di': 14484, 'covid_19': 14248, 'health': 14020, 'stay': 13862, 'test': 13791, 'crisis': 13570, 'realdonaldtrump': 13549, 'et': 13464, 'lockdown': 12978, 'il': 12783, 'corona': 12607, 'would': 12329, 'know': 12251, 'deaths': 11694, 'positive': 11523, 'good': 11206, 'des': 10927, 'da': 10722, 'see': 10673, 'medical': 10472, 'go': 10439, 'est': 10384, 'na': 10207, 'du': 10025, 'fight': 10001, 'government': 9896, 'first': 9823, '2020': 9769, 'going': 9720, 'death': 9664, 'die': 9647, 'day': 9552, 'many': 9547, 'take': 9370, 'casos': 9370, 'spread': 9312, 'still': 9276, 'even': 9216, 'country': 9164, 'could': 9155, 'state': 8924, 'per': 8740, 'coronalockdown': 8738, 'right': 8716, 'think': 8699, 'work': 8663, 'due': 8575, 'let': 8557, 'hospital': 8534, 'make': 8494, 'well': 8374, 'the': 8354, 'masks': 8333, 'may': 8324, 'patients': 8294, 'quarantine': 8140, 'pour': 8115, 'social': 8076, 'care': 8071, 'testing': 7911, 'total': 7886, '10': 7825, 'stop': 7781, 'india': 7772, 'president': 7724, 'also': 7704, 'great': 7430, 'outbreak': 7379, 'says': 7335, 'today': 7285, 'pas': 7271, 'back': 7270, 'way': 7219, 'really': 7179}"
2020-03-29,"{'covid19': 127605, 'covid': 116988, '19': 113711, 'NaN': 86045, 'people': 41469, 'trump': 32519, 'amp': 31752, 'via': 29836, 'us': 27273, 'cases': 25414, 'china': 24745, 'virus': 23985, 'new': 23698, 'pandemic': 21580, 'like': 19753, 'covid_19': 19180, 'get': 18875, 'one': 18433, 'news': 18179, '000': 17400, 'time': 16745, 'world': 16174, 'realdonaldtrump': 16101, 'si': 15970, 'home': 15260, 'please': 15192, 'need': 14984, 'deaths': 14701, 'help': 14591, 'lockdown': 14301, 'crisis': 14194, 'would': 13545, 'health': 13346, 'stay': 13106, 'know': 12881, 'di': 12876, 'et': 12434, 'il': 11817, 'could': 11787, 'good': 11573, 'corona': 11571, 'see': 11394, 'test': 11297, 'death': 10951, 'go': 10810, 'est': 10569, 'country': 10527, 'president': 10408, 'going': 10402, 'many': 10349, 'da': 10244, 'na': 10232, 'des': 10231, 'die': 10222, 'du': 10052, 'government': 9948, 'positive': 9881, 'still': 9777, '2020': 9668, 'day': 9628, 'last': 9577, 'take': 9563, 'first': 9495, 'must': 9480, 'support': 9473, 'even': 9467, 'spread': 9379, 'state': 9348, 'think': 9311, 'says': 9086, 'casos': 9046, 'fight': 8941, 'right': 8898, 'social': 8854, 'due': 8584, 'the': 8390, 'let': 8383, 'work': 8283, 'well': 8266, 'hospital': 8241, 'make': 8222, 'patients': 8121, 'also': 8096, '10': 8081, 'back': 8054, 'may': 7988, 'medical': 7959, 'stop': 7951, 'coronaupdate': 7810, 'pour': 7788, 'india': 7786, 'total': 7682, 'per': 7644, 'outbreak': 7634, 'care': 7623, 'quarantine': 7599, 'said': 7569, 'really': 7553, 're': 7502, 'way': 7494}"
2020-03-30,"{'covid19': 153681, 'covid': 139430, '19': 133474, 'NaN': 84245, 'people': 41166, 'amp': 36560, 'via': 33369, 'trump': 31397, 'us': 27433, 'new': 26363, 'pandemic': 25558, 'cases': 25084, 'virus': 24109, 'news': 21422, 'like': 20380, 'covid_19': 20072, 'china': 20002, 'get': 19944, 'help': 19062, 'home': 18726, 'one': 18513, 'time': 18166, 'crisis': 18100, 'lockdown': 17388, '000': 16847, 'health': 16244, 'need': 16047, 'please': 15872, 'stay': 15276, 'si': 15235, 'di': 15030, 'world': 14878, 'would': 13442, 'deaths': 13142, 'know': 13114, 'et': 13060, 'corona': 12895, 'good': 12777, 'realdonaldtrump': 12188, 'il': 12002, 'des': 11949, 'could': 11862, 'see': 11839, '2020': 11780, '30': 11728, 'go': 11383, 'due': 11381, 'da': 11119, 'day': 11059, 'government': 11035, 'hospital': 10776, 'support': 10690, 'die': 10664, 'many': 10611, 'take': 10558, 'patients': 10525, 'work': 10482, 'going': 10446, 'na': 10423, 'spread': 10398, 'still': 10310, 'du': 10027, 'positive': 9975, 'death': 9950, 'fight': 9919, 'social': 9897, 'make': 9815, 'today': 9724, 'test': 9673, 'outbreak': 9656, 'est': 9647, 'says': 9586, 'per': 9531, 'even': 9513, 'workers': 9509, 'may': 9473, 'first': 9465, 'right': 9421, 'state': 9411, 'country': 9200, 'last': 9095, 'casos': 8933, 'the': 8923, 'care': 8919, 'think': 8894, 'president': 8791, 'must': 8727, 'let': 8670, 'well': 8634, 're': 8603, 'pour': 8557, 'also': 8305, 'stop': 8279, 'thank': 8206, 'back': 8199, 'quarantine': 8181, 'medical': 8177, 'live': 8087, 'response': 8085, 'said': 7962}"
2020-03-31,"{'covid19': 171687, 'covid': 146153, '19': 137606, 'NaN': 81883, 'people': 40739, 'amp': 38653, 'trump': 34108, 'via': 32515, 'us': 29372, 'pandemic': 26584, 'new': 25704, 'virus': 25056, 'cases': 23045, 'like': 20393, 'get': 20347, 'time': 19926, 'news': 19924, 'china': 19612, 'help': 19265, 'one': 19136, 'home': 17976, 'crisis': 17754, 'health': 16379, '000': 16319, 'need': 16284, 'di': 16249, 'world': 15422, 'please': 15306, 'deaths': 14254, 'si': 14096, 'corona': 13941, 'lockdown': 13860, 'stay': 13828, 'would': 13716, 'et': 13300, 'know': 13198, 'realdonaldtrump': 12710, 'good': 12274, 'day': 12140, 'dan': 12099, 'il': 11828, 'could': 11786, '2020': 11508, 'des': 11343, 'go': 11307, 'government': 11227, 'see': 11082, 'due': 11073, 'positive': 10864, 'many': 10740, 'na': 10694, 'going': 10636, 'still': 10551, 'die': 10541, 'take': 10475, 'est': 10441, 'even': 10390, 'work': 10310, 'first': 10294, 'test': 10279, 'du': 10021, 'today': 10015, 'make': 9986, 'death': 9956, 'says': 9881, 'da': 9865, 'spread': 9807, 'outbreak': 9528, 'social': 9503, 'hospital': 9379, 'may': 9263, 'workers': 9222, 'country': 9178, 'state': 9147, 'right': 9058, 'think': 9043, 'pour': 9029, 'fight': 9003, 're': 8996, 'well': 8984, 'per': 8951, 'support': 8823, 'the': 8811, 'casos': 8708, 'let': 8669, 'response': 8650, 'sinergitascegahcovid19': 8621, 'care': 8543, 'stayathome': 8502, 'president': 8322, 'also': 8281, 'stop': 8275, 'patients': 8215, 'live': 8178, 'testing': 8134, 'back': 8079, 'said': 7986, '10': 7915, 'covid_19': 7774, 'really': 7751}"
